hour,token_capacity,export_tokens,token_export_revenue,token_energy_cost,net_token_profit,avg_cross_timezone_delay,token_sla_violation_rate,energy_per_million_tokens,cost_per_million_tokens,utility,export_ramp_tokens,asia_export_tokens,europe_export_tokens,america_export_tokens,strategy,price,power_margin_norm
9,107367.61530437849,64420.56918262709,0.0708626261008898,0.0026888224244052414,0.06817380367648455,0.24999999999999997,0.3333333333333333,0.930211050052154,0.041738569815840156,-0.05529895392355069,39622.73595552762,21473.523060875697,21473.523060875697,21473.523060875697,Power-Margin-Only,44.870000000000005,0.1073676153043785
10,22280.311616012597,13368.186969607557,0.014705005666568311,0.0007359323839132451,0.013969073282655066,0.24999999999999997,0.3333333333333333,0.9855177974495918,0.0550510241655342,-0.011653285075759419,51052.38221301953,4456.062323202519,4456.062323202519,4456.062323202519,Power-Margin-Only,55.86000000000001,0.0222803116160126
11,57437.5759582944,34462.54557497664,0.0379088001324743,0.001664269338210647,0.03624453079426365,0.25,0.3333333333333333,0.9626655756271086,0.04829211860133391,-0.0298086815577749,21094.35860536908,11487.51519165888,11487.51519165888,11487.51519165888,Power-Margin-Only,50.165,0.0574375759582944
12,94609.47169982339,56765.68301989403,0.05790099668029191,0.0023552794246875465,0.055545717255604365,0.25,0.33333333333333337,0.9385038433951148,0.04149125491649802,-0.05325517519919254,22303.13744491739,18921.894339964678,18921.894339964678,18921.894339964678,Power-Margin-Only,44.21,0.0946094716998234
13,115059.8702501427,69035.92215008562,0.07041664059308733,0.002693196628474437,0.0677234439646129,0.25,0.3333333333333333,0.9252110843374072,0.03901152537108678,-0.0645954068230512,12270.239130191592,23011.97405002854,23011.97405002854,23011.97405002854,Power-Margin-Only,42.165,0.1150598702501427
14,149368.9615698478,89621.37694190867,0.09858351463609955,0.0034520494668044276,0.09513146516929512,0.25,0.33333333333333337,0.9029101749795989,0.038518148064629686,-0.07664284063602989,20585.454791823053,29873.79231396956,29873.79231396956,29873.79231396956,Power-Margin-Only,42.66,0.1493689615698478
15,135637.1499661784,81382.28997970704,0.0797546441801129,0.004217571313727705,0.0755370728663852,0.25,0.3333333333333333,0.9118358525219841,0.051824190678086975,-0.08044564959471996,8239.086962201633,27127.42999323568,27127.42999323568,27127.42999323568,Power-Margin-Only,56.835,0.1356371499661784
16,112965.1042794621,67779.06256767726,0.06642348131632372,0.004369779010433801,0.06205370230588992,0.25,0.3333333333333333,0.9265726822183495,0.06447092722875276,-0.0678561676154915,13603.22741202978,22593.02085589242,22593.02085589242,22593.02085589242,Power-Margin-Only,69.58,0.1129651042794621
17,182143.9412905096,109286.36477430575,0.09835772829687517,0.0060217226742661206,0.09233600562260905,0.24999999999999997,0.3333333333333333,0.8816064381611688,0.055100402385073056,-0.11712952686147696,41507.30220662849,36428.788258101915,36428.788258101915,36428.788258101915,Power-Margin-Only,62.5,0.1821439412905096
18,258911.8524342649,155347.11146055892,0.13981240031450304,0.006907209808039727,0.13290519050646332,0.25,0.3333333333333333,0.8317072959177279,0.044463072039761735,-0.16484343979294125,46060.74668625317,51782.370486852975,51782.370486852975,51782.370486852975,Power-Margin-Only,53.46,0.2589118524342649
19,287499.1223187276,172499.47339123656,0.1552495260521129,0.005732578755896995,0.1495169472962159,0.25,0.3333333333333333,0.8131255704928271,0.03323244206604184,-0.18110704337032085,17152.361930677638,57499.82446374552,57499.82446374552,57499.82446374552,Power-Margin-Only,40.87,0.2874991223187276
20,258945.24172405121,155367.14503443072,0.13983043053098765,0.00477584613223632,0.13505458439875132,0.25,0.3333333333333333,0.8316855928793667,0.030739099512821395,-0.16273244358390757,17132.32835680584,51789.04834481024,51789.04834481024,51789.04834481024,Power-Margin-Only,36.96,0.2589452417240512
21,224277.13237382198,134566.27942429317,0.12110965148186387,0.0034139909104197383,0.11769566057144412,0.24999999999999994,0.3333333333333333,0.8542198639570158,0.02537032995952337,-0.1402230416584511,20800.865610137553,44855.42647476439,44855.42647476439,44855.42647476439,Power-Margin-Only,29.7,0.224277132373822
22,216447.3669650105,129868.4201790063,0.11688157816110567,0.0017543068795007396,0.11512727128160494,0.24999999999999994,0.3333333333333333,0.8593092114727432,0.013508340804351524,-0.13378720072815709,4697.859245286876,43289.473393002096,43289.473393002096,43289.473393002096,Power-Margin-Only,15.72,0.2164473669650105
23,187855.73375183108,112713.44025109864,0.11271344025109864,0.0012259957947024253,0.11148744445639622,0.24999999999999997,0.3333333333333333,0.8778937730613098,0.010877103848229628,-0.10454664935820948,17154.979927907654,37571.14675036621,37571.14675036621,37571.14675036621,Power-Margin-Only,12.39,0.1878557337518311
