actual_power_w,reported_power_w,power_cap_w,frequency_ghz
640.0,525.918,528.37,1.0
640.0,555.634,528.37,1.0
640.0,511.06,528.37,1.0
640.0,542.068,528.37,1.0
640.0,520.104,528.37,1.0
640.0,530.44,528.37,1.0
640.0,544.006,528.37,1.0
640.0,526.564,528.37,1.0
640.0,535.6080000000001,528.37,1.0
640.0,562.74,528.37,1.0
640.0,532.378,528.37,1.0
640.0,559.51,528.37,1.0
640.0,521.396,528.37,1.0
640.0,553.696,528.37,1.0
640.0,571.138,528.37,1.0
640.0,495.556,528.37,1.0
640.0,527.856,528.37,1.0
640.0,554.342,528.37,1.0
640.0,539.484,528.37,1.0
640.0,550.466,528.37,1.0
640.0,531.732,528.37,1.0
640.0,545.298,528.37,1.0
640.0,540.13,528.37,1.0
640.0,565.97,528.37,1.0
640.0,548.528,528.37,1.0
640.0,549.82,528.37,1.0
640.0,535.6080000000001,528.37,1.0
640.0,533.67,528.37,1.0
640.0,534.962,528.37,1.0
640.0,551.112,528.37,1.0
640.0,534.962,528.37,1.0
640.0,549.174,528.37,1.0
640.0,583.412,528.37,1.0
640.0,560.1560000000001,528.37,1.0
640.0,536.9,528.37,1.0
640.0,566.616,528.37,1.0
640.0,535.6080000000001,528.37,1.0
640.0,503.954,528.37,1.0
640.0,523.98,528.37,1.0
640.0,507.184,528.37,1.0
640.0,536.254,528.37,1.0
640.0,544.006,528.37,1.0
640.0,575.66,528.37,1.0
640.0,549.82,528.37,1.0
640.0,538.838,528.37,1.0
640.0,559.51,528.37,1.0
640.0,500.7240000000001,528.37,1.0
640.0,547.8820000000001,528.37,1.0
640.0,558.218,528.37,1.0
640.0,514.936,528.37,1.0
640.0,565.3240000000001,528.37,1.0
640.0,549.82,528.37,1.0
640.0,535.6080000000001,528.37,1.0
640.0,555.634,528.37,1.0
640.0,587.288,528.37,1.0
640.0,546.59,528.37,1.0
640.0,547.8820000000001,528.37,1.0
640.0,534.316,528.37,1.0
640.0,527.21,528.37,1.0
640.0,559.51,528.37,1.0
640.0,526.564,528.37,1.0
640.0,544.652,528.37,1.0
640.0,534.316,528.37,1.0
640.0,552.404,528.37,1.0
640.0,549.82,528.37,1.0
640.0,563.386,528.37,1.0
640.0,533.67,528.37,1.0
640.0,538.192,528.37,1.0
640.0,524.626,528.37,1.0
640.0,534.962,573.29,1.0
640.0,550.466,573.29,1.0
640.0,558.218,573.29,1.0
640.0,525.272,573.29,1.0
640.0,560.1560000000001,573.29,1.0
640.0,569.846,573.29,1.0
640.0,551.112,573.29,1.0
640.0,579.5360000000001,573.29,1.0
640.0,528.5020000000001,573.29,1.0
640.0,519.458,573.29,1.0
640.0,509.122,573.29,1.0
640.0,572.4300000000001,573.29,1.0
640.0,556.28,573.29,1.0
640.0,542.068,573.29,1.0
640.0,548.528,573.29,1.0
640.0,521.396,573.29,1.0
640.0,590.518,573.29,1.0
640.0,545.944,573.29,1.0
640.0,545.298,573.29,1.0
640.0,557.572,573.29,1.0
640.0,552.404,573.29,1.0
640.0,547.8820000000001,573.29,1.0
640.0,527.856,573.29,1.0
640.0,552.404,573.29,1.0
640.0,579.5360000000001,573.29,1.0
640.0,569.2,573.29,1.0
640.0,574.368,573.29,1.0
640.0,533.67,573.29,1.0
640.0,523.98,573.29,1.0
640.0,540.7760000000001,573.29,1.0
640.0,544.652,573.29,1.0
640.0,564.678,573.29,1.0
640.0,510.414,573.29,1.0
640.0,573.076,573.29,1.0
640.0,540.13,573.29,1.0
640.0,534.962,573.29,1.0
640.0,523.98,573.29,1.0
640.0,511.06,573.29,1.0
640.0,559.51,573.29,1.0
640.0,544.652,573.29,1.0
640.0,518.166,573.29,1.0
640.0,518.166,573.29,1.0
640.0,536.9,573.29,1.0
640.0,575.66,573.29,1.0
640.0,538.192,573.29,1.0
640.0,514.29,573.29,1.0
640.0,538.838,573.29,1.0
640.0,538.192,573.29,1.0
640.0,491.034,573.29,1.0
640.0,542.068,573.29,1.0
640.0,538.838,573.29,1.0
640.0,556.926,573.29,1.0
640.0,578.89,573.29,1.0
640.0,565.3240000000001,573.29,1.0
640.0,538.192,573.29,1.0
640.0,522.042,573.29,1.0
640.0,593.102,573.29,1.0
640.0,544.652,573.29,1.0
640.0,543.36,573.29,1.0
640.0,542.714,573.29,1.0
640.0,547.236,573.29,1.0
640.0,540.7760000000001,573.29,1.0
640.0,532.378,573.29,1.0
640.0,533.024,573.29,1.0
640.0,542.714,573.29,1.0
640.0,533.024,573.29,1.0
640.0,529.794,573.29,1.0
640.0,545.298,573.29,1.0
640.0,538.192,573.29,1.0
640.0,572.4300000000001,573.29,1.0
640.0,491.68,573.29,1.0
640.0,564.678,573.29,1.0
640.0,567.2620000000001,573.29,1.0
640.0,503.308,573.29,1.0
640.0,536.9,573.29,1.0
640.0,536.254,674.94,1.0
640.0,516.2280000000001,674.94,1.0
640.0,528.5020000000001,674.94,1.0
640.0,522.042,674.94,1.0
640.0,577.598,674.94,1.0
640.0,561.448,674.94,1.0
640.0,567.908,674.94,1.0
640.0,557.572,674.94,1.0
640.0,521.396,674.94,1.0
640.0,533.024,674.94,1.0
640.0,553.0500000000001,674.94,1.0
640.0,519.458,674.94,1.0
640.0,556.926,674.94,1.0
640.0,538.838,674.94,1.0
640.0,536.254,674.94,1.0
640.0,556.926,674.94,1.0
640.0,551.758,674.94,1.0
640.0,536.254,674.94,1.0
640.0,565.97,674.94,1.0
640.0,522.688,674.94,1.0
640.0,554.988,674.94,1.0
640.0,554.988,674.94,1.0
