task_id,arrival_step,scheduled_start_step,execution_time_steps,end_step,arrival_time,deadline,task_type,cpu_demand,memory_demand,bandwidth_demand,priority,datacenter_id,server_room_id,rack_id,server_id,global_server_id,waiting_time_steps,deadline_violation,sample_marker
j613886,0.0,0.0,2.0,2.0,0,0,delay_sensitive,6.0,4.0,0.5,3,3,2,6,0,3260,0.0,False,0.92512012
j125286,0.0,0.0,15.0,15.0,0,3,delay_sensitive,30.0,15.0,0.5,3,0,3,6,4,364,0.0,False,0.58106114
j109174,0.0,0.0,15.0,15.0,0,3,delay_sensitive,12.0,6.0,0.5,3,1,3,7,4,1374,0.0,False,0.3468698
j613886,0.0,0.0,16.0,16.0,0,3,delay_sensitive,5.0,4.0,0.5,3,2,3,6,8,2368,0.0,False,0.59091549
j613886,0.0,0.0,16.0,16.0,0,3,delay_sensitive,30.0,15.0,0.5,3,3,3,7,2,3372,0.0,False,0.02280387
j571568,0.0,0.0,13.0,13.0,0,3,delay_sensitive,3.0,4.0,0.5,3,0,4,3,4,434,0.0,False,0.95855921
j837711,0.0,0.0,15.0,15.0,0,3,delay_sensitive,14.0,7.0,0.5,3,1,4,3,0,1430,0.0,False,0.48230344
j62803,0.0,0.0,14.0,14.0,0,3,delay_sensitive,4.0,4.0,0.5,3,2,4,9,8,2498,0.0,False,0.78273523
j765620,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,3,4,0,5,3405,0.0,False,0.08273
j650514,0.0,0.0,4.0,4.0,0,0,delay_sensitive,1.0,4.0,0.5,3,0,5,0,0,500,0.0,False,0.48665833
j34124,0.0,0.0,11.0,11.0,0,2,delay_sensitive,5.0,4.0,0.5,3,1,5,9,7,1597,0.0,False,0.49070699
j34124,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,2,5,8,8,2588,0.0,False,0.93782645
j230254,0.0,0.0,14.0,14.0,0,3,delay_sensitive,4.0,4.0,0.5,3,3,5,2,0,3520,0.0,False,0.57172805
j734726,0.0,0.0,15.0,15.0,0,3,delay_sensitive,12.0,6.0,0.5,3,0,6,8,1,681,0.0,False,0.4734894
j837711,0.0,0.0,3.0,3.0,0,0,delay_sensitive,1.0,4.0,0.5,3,1,6,2,1,1621,0.0,False,0.26697566
j126584,0.0,0.0,15.0,15.0,0,3,delay_sensitive,10.0,5.0,0.5,3,2,6,9,1,2691,0.0,False,0.331569
j158021,0.0,0.0,3.0,3.0,0,0,delay_sensitive,1.0,4.0,0.5,3,3,6,3,6,3636,0.0,False,0.5206724
j887557,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,0,7,1,9,719,0.0,False,0.43891146
j230254,0.0,0.0,15.0,15.0,0,3,delay_sensitive,6.0,4.0,0.5,3,1,7,3,9,1739,0.0,False,0.02161208
j158021,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,2,7,9,0,2790,0.0,False,0.82629192
j454954,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,3,7,9,1,3791,0.0,False,0.89616077
j62803,0.0,0.0,8.0,8.0,0,1,delay_sensitive,1.0,4.0,0.5,3,0,8,6,9,869,0.0,False,0.14024909
j221783,0.0,0.0,15.0,15.0,0,3,delay_sensitive,14.0,7.0,0.5,3,1,8,9,8,1898,0.0,False,0.55403614
j650514,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,2,8,5,4,2854,0.0,False,0.10857574
j221783,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,3,8,3,5,3835,0.0,False,0.67224009
j743978,0.0,0.0,14.0,14.0,0,3,delay_sensitive,10.0,5.0,0.5,3,0,9,3,4,934,0.0,False,0.28123378
j142475,0.0,0.0,11.0,11.0,0,2,delay_sensitive,6.0,4.0,0.5,3,1,9,6,2,1962,0.0,False,0.65942263
j360424,0.0,0.0,15.0,15.0,0,3,delay_sensitive,8.0,4.0,0.5,3,2,9,4,7,2947,0.0,False,0.72699461
j647487,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,3,9,5,1,3951,0.0,False,0.76864749
j610121,0.0,0.0,6.0,6.0,0,1,delay_sensitive,1.0,4.0,0.5,3,0,0,0,7,7,0.0,False,0.10774095
j541699,0.0,0.0,15.0,15.0,0,3,delay_sensitive,12.0,6.0,0.5,3,1,0,9,9,1099,0.0,False,0.91601185
j34124,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,2,0,1,1,2011,0.0,False,0.23021399
j360424,0.0,0.0,11.0,11.0,0,2,delay_sensitive,8.0,4.0,0.5,3,3,0,8,3,3083,0.0,False,0.03741256
j534401,0.0,0.0,12.0,12.0,0,2,delay_sensitive,8.0,4.0,0.5,3,0,1,8,4,184,0.0,False,0.55485247
j534401,0.0,0.0,15.0,15.0,0,3,delay_sensitive,9.0,4.5,0.5,3,1,1,2,5,1125,0.0,False,0.37092228
j806950,0.0,0.0,14.0,14.0,0,3,delay_sensitive,12.0,6.0,0.5,3,2,1,1,3,2113,0.0,False,0.82978974
j176671,0.0,0.0,12.0,12.0,0,2,delay_sensitive,12.0,6.0,0.5,3,3,1,5,4,3154,0.0,False,0.80825147
j125286,0.0,0.0,30.0,30.0,0,7,delay_sensitive,30.0,15.0,0.5,3,0,2,2,7,227,0.0,False,0.31713889
j83983,0.0,0.0,8.0,8.0,0,1,delay_sensitive,8.0,4.0,0.5,3,1,2,8,4,1284,0.0,False,0.9528994
j357491,0.0,0.0,9.0,9.0,0,2,delay_sensitive,1.0,4.0,0.5,3,2,2,9,8,2298,0.0,False,0.29091784
j119594,0.0,0.0,15.0,15.0,0,3,delay_sensitive,13.0,6.5,0.5,3,3,2,0,8,3208,0.0,False,0.51505713
j571568,0.0,0.0,2.0,2.0,0,0,delay_sensitive,1.0,4.0,0.5,3,0,3,4,1,341,0.0,False,0.25596509
j454954,0.0,0.0,4.0,4.0,0,0,delay_sensitive,1.0,4.0,0.5,3,1,3,2,4,1324,0.0,False,0.93604357
j176671,0.0,0.0,13.0,13.0,0,3,delay_sensitive,6.0,4.0,0.5,3,2,3,1,1,2311,0.0,False,0.16460782
j269438,0.0,0.0,8.0,8.0,0,1,delay_sensitive,8.0,4.0,0.5,3,3,3,8,2,3382,0.0,False,0.04491062
j62803,0.0,0.0,6.0,6.0,0,1,delay_sensitive,5.0,4.0,0.5,3,0,4,4,4,444,0.0,False,0.43509706
j142475,0.0,0.0,11.0,11.0,0,2,delay_sensitive,6.0,4.0,0.5,3,1,4,9,3,1493,0.0,False,0.99237556
j54287,0.0,0.0,7.0,7.0,0,1,delay_sensitive,2.0,4.0,0.5,3,2,4,5,3,2453,0.0,False,0.89167727
j907081,0.0,0.0,12.0,12.0,0,2,delay_sensitive,2.0,4.0,0.5,3,3,4,4,8,3448,0.0,False,0.74860802
j221783,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,0,5,7,4,574,0.0,False,0.89079249
