hour,token_capacity,export_tokens,token_export_revenue,token_energy_cost,net_token_profit,avg_cross_timezone_delay,token_sla_violation_rate,energy_per_million_tokens,cost_per_million_tokens,utility,export_ramp_tokens,domestic_export_tokens,europe_export_tokens,north_america_export_tokens,strategy,price,power_margin_norm
18,619882.166335381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,53.46,0.619882166335381
19,656075.6746592736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,40.87,0.6560756746592736
20,591959.3820352395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,36.96,0.5919593820352395
21,529659.0158620803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,29.7,0.5296590158620803
22,471192.15947144263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,15.72,0.4711921594714426
23,404564.93196423183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,12.39,0.4045649319642318
0,683481.9154775183,410089.149286511,0.410089149286511,0.009713166748635618,0.40037598253787543,0.25,0.3333333333333333,0.555736754939613,0.023685500495526306,0.23363502479911624,410089.149286511,136696.38309550367,136696.38309550367,136696.38309550367,Power-Margin-Only,42.62,0.6834819154775184
1,639369.9166416501,383621.94998499006,0.3836219499849901,0.009086515246986256,0.3745354347380038,0.25,0.33333333333333337,0.5844095541829274,0.02368611923103405,0.24666145140967383,26467.199301520945,127873.98332833002,127873.98332833002,127873.98332833002,Power-Margin-Only,40.53,0.6393699166416501
2,566156.721699095,339694.03301945695,0.339694033019457,0.0074012996412428774,0.33229273337821413,0.24999999999999994,0.3333333333333333,0.6319981308955882,0.0217881355626254,0.21906138903839517,43927.916965533106,113231.34433981898,113231.34433981898,113231.34433981898,Power-Margin-Only,34.475,0.566156721699095
3,475130.238145405,285078.142887243,0.285078142887243,0.007970111581435657,0.2771080313058073,0.24999999999999994,0.3333333333333333,0.6911653452054867,0.02795763821356194,0.1820819836767263,54615.89013221394,95026.047629081,95026.047629081,95026.047629081,Power-Margin-Only,40.45,0.475130238145405
